repo,number,title,state,created_at,closed_at,labels
meta-llama/llama3,411,"Error from ""llama-model download --source meta --model-id Llama-4-Scout-17B-16E""",open,2025-11-05 23:30:18,,
meta-llama/llama3,409,Update generation.py,open,2025-10-09 20:33:12,,CLA Signed
meta-llama/llama3,408,Example teting,closed,2025-10-05 12:45:48,2025-10-05 12:53:14,
meta-llama/llama3,392,"sp_model = SentencePieceProcessor()  sp_model.Load(""/home/imss/zxhhhh/llama-3-8b/tokenizer.model"")",open,2025-03-17 14:00:53,,
meta-llama/llama3,356,Model being very repetitive,open,2024-10-29 05:40:34,,
meta-llama/llama3,295,Update download.sh,closed,2024-07-28 10:47:58,2025-10-10 13:59:19,CLA Signed
ollama/ollama,13275,Model request: Qwen-Next,open,2025-11-30 08:54:58,,
ollama/ollama,13274,.gitattributes: add app/webview to linguist-vendored,closed,2025-11-30 04:41:10,2025-11-30 04:46:10,
ollama/ollama,13273,Core dump on detecting ROCm GPUs in docker/podman,open,2025-11-29 22:49:44,,bug
ollama/ollama,13272,Copilot/create n8n automation,open,2025-11-29 20:33:23,,
ollama/ollama,13271,Pull of DeepSeek Coder fails with timeout on Arch Linux,open,2025-11-29 15:41:28,,bug
ollama/ollama,13270,"Model request: Fara-7B, An Efficient Agentic Model for Computer Use",open,2025-11-29 03:14:37,,
ollama/ollama,13269,Error 5: Unable to execute file in the temporary directory. Setup aborted.,open,2025-11-29 03:09:46,,bug
ollama/ollama,13268,model: add intellect-3 parser and prompt renderer,open,2025-11-28 23:12:16,,
ollama/ollama,13267,Models cant proces images,closed,2025-11-28 19:50:52,2025-11-28 20:45:54,bug
ollama/ollama,13266,Pulling a model changes server version information?,closed,2025-11-28 14:53:45,2025-11-29 11:13:10,bug
ollama/ollama,13265,Add Vulkan GPU support instructions in development.md,open,2025-11-28 14:21:37,,
ollama/ollama,13264,Upgrade go to 1.24.6 and crypto 0.45.0,open,2025-11-28 12:20:46,,
ollama/ollama,13263,cmd/bench: support writing benchmark output to file,open,2025-11-28 10:14:16,,
ollama/ollama,13262,The latest version of ollama cannot deploy the qwen3-instruct model that I fine-tuned.,open,2025-11-28 08:16:55,,bug
ollama/ollama,13261,Make low_vram_mode threshold configurable,open,2025-11-28 07:16:41,,bug
ollama/ollama,13260,model: fix unused result in BenchmarkBytePairEncoding,open,2025-11-27 19:54:04,,
ollama/ollama,13259,Multi-file GGUF models loading support,open,2025-11-27 03:09:21,,
ollama/ollama,13258,Incorrect Content type header by API,open,2025-11-27 03:01:29,,bug
ollama/ollama,13257,v0.13.0 -- Vision Not Working on GUI app (Windows 11),closed,2025-11-26 23:50:35,2025-11-27 00:08:22,bug
ollama/ollama,13256,#13255 Updated to Remove Apostrophes That Caused the curl Request to Not Complete,open,2025-11-26 17:18:01,,
ollama/ollama,13255,Apostrophe 'S' on tool-calling.mdx Page Causes curl Request Example to Not Complete,open,2025-11-26 17:12:51,,bug
ollama/ollama,13254,Hunyuan OCR 1B,closed,2025-11-26 16:50:54,2025-11-26 16:51:41,
ollama/ollama,13253,AI emotional empathy and multi level system prompts,closed,2025-11-26 13:35:08,2025-11-26 14:16:32,feature request
ollama/ollama,13252,How can I use deepseek-ocr:3b from the API?,open,2025-11-26 13:30:02,,bug
ollama/ollama,13251,Model request: tencent/HunyuanOCR,open,2025-11-26 08:12:31,,model
ollama/ollama,13250,Cannot load model even tho I have enough vRAM,open,2025-11-26 08:10:01,,bug
ollama/ollama,13249,could anyone tell me which version is stable？because i wanna make sure that i can use qwen3 text,open,2025-11-26 08:09:37,,
ollama/ollama,13248,conf: support human-readable context length format,open,2025-11-26 06:55:10,,
ollama/ollama,13247,"Qwen3-VL models (2B/4B) not utilizing GPU on Jetson Orin Nano Super (JetPack 6.2.1), while Qwen2.5-VL:3B works correctly",open,2025-11-26 06:38:34,,bug
ollama/ollama,13246,install Ollama on the Dell PowerMax GB10,open,2025-11-26 02:44:02,,
ollama/ollama,13245,build(deps): bump golang.org/x/crypto from 0.36.0 to 0.45.0,open,2025-11-26 02:27:06,,
ollama/ollama,13244,ggml: Use max graph memory allocation when reserving,open,2025-11-26 00:36:14,,
ollama/ollama,13243,olmo: model implementation ,open,2025-11-25 23:50:52,,
ollama/ollama,13242,llm: Don't always evict models on CPU-only systems,open,2025-11-25 23:06:01,,
ollama/ollama,13241,Nvidia GPUs not available as vulkan compute unit in docker,open,2025-11-25 23:04:13,,bug
ollama/ollama,13240,ollama/ollama: adding Arize to Read.me,open,2025-11-25 22:24:38,,
ollama/ollama,13239,non-stream mode returns done:false,open,2025-11-25 14:27:05,,bug
ollama/ollama,13238,server: fix missing logprobs in tool calls,open,2025-11-25 10:57:49,,
ollama/ollama,13237,docs: remove deprecated parameter,closed,2025-11-25 09:28:30,2025-11-26 02:03:09,
ollama/ollama,13236,ROCm GPU discovery times out on AMD Radeon AI PRO R9700 (gfx1201) – CPU fallback only,open,2025-11-25 08:00:40,,bug
ollama/ollama,13235,VRAM runs out when loading models one after another,open,2025-11-25 05:25:33,,bug
ollama/ollama,13234,Model get stuck in stopping state!,open,2025-11-25 02:37:14,,bug
ollama/ollama,13233,bootstrapDevices() may silently fail without logging an error,closed,2025-11-24 22:35:30,2025-11-24 23:44:40,bug
ollama/ollama,13232,CPU/GPU usage remains high after response is completed,open,2025-11-24 22:05:00,,bug
ollama/ollama,13231,Fix output formatting in docs/faq.mdx,closed,2025-11-24 20:27:49,2025-11-29 00:19:21,
ollama/ollama,13230,`ollama serve` causes `ollama ps` to always return empty results,closed,2025-11-24 16:53:52,2025-11-25 01:31:20,bug
ollama/ollama,13229,Inconsistent Responses and `done:false` with mistral-small3.1:24b (caused by repeated token ?),open,2025-11-24 16:17:55,,bug
ollama/ollama,13228,docs: add AGENTS.md for AI coding assistants,open,2025-11-24 15:19:55,,
ollama/ollama,13227,"Ollama evicts previously loaded model, although system memory is suficient",open,2025-11-24 14:20:41,,bug
ollama/ollama,13226,Cannot change model location,open,2025-11-24 13:45:10,,"bug,app"
ollama/ollama,13225,GPU Offline Issues During Extended Operation,open,2025-11-24 09:58:37,,feature request
ollama/ollama,13224,Error loading mistral-small3.2:24b on AMD GPU,closed,2025-11-24 08:14:49,2025-11-25 06:46:10,bug
